,Acidaminococcus,Alistipes,Anaerostipes,Anaerotruncus,Bacteroides,Barnesiella,Bifidobacterium,Bilophila,Blautia,Butyricicoccus,Catenibacterium,Citrobacter,Clostridium,Collinsella,Coprococcus,Desulfovibrio,Dorea,Eggerthella,Enterobacter,Enterococcus,Eubacterium,Fusobacterium,Haemophilus,Holdemania,Klebsiella,Lactobacillus,Lactococcus,Leuconostoc,Megamonas,Megasphaera,Methanobrevibacter,Methanosphaera,Odoribacter,Oscillibacter,Parabacteroides,Paraprevotella,Parasutterella,Pediococcus,Phascolarctobacterium,Prevotella,Propionibacterium,Proteus,Roseburia,Rothia,Ruminococcus,Slackia,Streptococcus,Subdoligranulum,Sutterella,Turicibacter,Veillonella
PRISM|7486,5.217407171,2.424318658,-3.618716216,0.398044119,2.959730138,-4.649549515,5.357764704,-3.902278493,2.996178387,0.225852083,1.003255389,-3.789362152,3.858647518,0.293645215,3.065616077,-2.260680449,-4.427236045,1.696812964,-5.132217683,0.395512987,5.235168771,-3.102467282,0.165975045,1.48908831,-2.917979649,0.288124037,0.99627681,1.032022652,1.981794502,1.059342825,-0.042707789,0.453215705,1.737589988,2.079109368,-2.551795405,-0.480337215,-3.197674431,-2.44635896,6.369678164,-4.832156968,-3.115298809,-0.354132009,-4.29340196,-5.579994961,-3.42389117,-0.609752164,1.653261272,1.147672159,6.517857974,2.644052622,-0.01502629
PRISM|7496,-4.110855564,2.222429084,-3.395234245,2.891607947,2.509896051,-4.426067545,2.511886429,-3.678796522,4.367393959,-3.921314216,1.225322649,-3.565880181,3.187969022,0.515750137,3.289098048,-2.037198478,-4.203754074,1.918880224,-4.908735712,-1.577376379,2.682446685,-2.878985311,1.839747086,4.188759426,-2.694497678,0.234480537,3.238355981,-1.420163212,2.204605269,-1.576838868,0.180774182,0.675282965,1.961071959,2.301472159,4.131676054,-0.256855244,-2.97419246,-2.22287699,-2.381001872,-4.608674998,-2.891816838,-0.130650038,7.251874592,1.87975242,-3.2004092,-0.386270194,3.988993114,1.37115413,-3.82500904,2.917740087,1.585034663
PRISM|7506,-2.054939686,3.605325048,-3.499666612,2.207350144,7.033508686,-4.530499912,5.047167597,-3.78322889,3.23107768,-4.025746584,1.123999213,-3.670312549,3.700959524,0.414344005,3.677672639,-2.141630846,-4.308186441,3.567560747,-5.01316808,-1.681808747,3.673770297,-1.722751693,3.29305041,2.484056477,-1.512992801,0.130048169,1.395556915,-1.52459558,2.101648579,-1.681271236,0.076341814,0.573959529,4.477280619,4.606029329,-2.432745802,-0.361287612,-3.078624828,-2.257183565,-2.485434239,-0.836641578,-2.996249206,-0.235082406,-4.174352357,-2.694612276,6.308394086,-0.490702561,1.514952557,1.266721763,-3.929441408,1.776209858,-0.16382819
PRISM|7547,-4.159283824,6.272320383,-3.443662504,2.006624987,5.586476347,-4.474495804,0.012958341,2.614476996,5.41307039,-3.969742476,1.178550843,-3.614308441,5.582937059,0.46893424,3.240669789,-2.085626738,-4.252182333,4.90771352,-4.957163972,-1.625804639,3.460016273,-2.927413571,-5.922244868,3.572316731,1.871463578,0.316713355,-2.866545667,-1.468591472,2.156962958,-1.625267128,0.132345922,0.62851116,5.083593119,2.254354356,-2.376741694,-0.305283504,5.876657107,-2.271305249,-2.429430132,-0.544006738,-2.940245098,-0.179078298,5.400815047,-0.276883393,-3.248837459,-0.434698453,1.434086352,3.888285531,-3.8734373,-3.581913837,-3.506659793
PRISM|7658,-0.754015273,2.705445949,-0.762681449,0.936330257,4.768935375,-4.461334134,7.399518684,-3.714063111,1.057236009,-3.956580805,1.191402882,-3.60114677,3.468638591,1.839486045,4.589482947,-2.072465067,-4.239020663,1.884960457,-4.944002301,-1.092342607,4.781197175,-2.9142519,5.882145351,-2.702627967,-2.729764267,0.385812216,1.308449284,1.896397906,2.169977663,-1.612105457,0.145507593,0.641363199,1.92580537,2.267271036,-2.363580023,-0.292121833,0.515755558,0.27258236,-2.416268461,-4.643941587,-2.927083427,-0.165916627,3.128592193,0.26236859,-3.235675789,-0.421536783,2.91919771,1.335887541,-3.860275629,-3.568752166,3.771806155
PRISM|7662,-4.056931795,5.500704286,-3.341310476,2.001868763,5.400087462,5.589010389,5.428580917,2.363320927,3.904500798,-3.867390448,5.010158573,-3.511956412,3.171079969,2.799727473,6.575729162,-1.98327471,-4.149830305,1.974734763,-4.854811943,-1.523452611,5.005927177,-2.825061542,-5.819892839,0.968437756,-2.640573909,0.288404305,-0.255352493,-1.366239443,2.259445209,-1.522915099,6.203460407,4.991968889,2.014995727,2.356923445,-2.274389665,-0.202931475,-2.920268691,-2.168953221,-2.327078103,-4.554751229,-2.83789307,-0.07672627,-4.01599622,-5.302589222,-3.146485431,3.17653665,0.647726432,1.425077899,-0.62748118,-3.479561809,-3.404307765
PRISM|7744,-2.064241221,3.649999345,-3.480977567,2.901672695,4.997206748,4.538001748,-0.268538734,1.187138749,-2.81989383,-4.007057539,5.653874851,-3.651623503,3.952703874,0.432637944,4.187836385,4.266962002,-4.289497396,1.835839944,-4.994479034,0.024601764,6.488768956,-2.964728633,-5.95955993,1.878750249,-2.780241,0.614157798,0.713482845,-1.505906534,2.12014483,-1.662582191,0.09503086,0.592242686,1.875328636,2.217867506,-2.414056756,2.780939994,-0.515069122,-2.308620312,5.580242005,6.199313059,-2.977560161,-0.216393361,-4.155663312,-5.442256313,-3.286152522,-0.472013516,-0.059537133,4.585860269,-3.910752362,-3.6192289,-3.543974856
PRISM|7759,6.697154756,1.914763631,2.611073209,-2.152414579,4.529900628,-4.73528037,3.797472279,-3.988009347,3.473417393,4.041885355,0.917681309,-3.875093006,3.510017289,0.208066965,2.979885223,-2.346411303,-4.512966899,1.611238884,-5.217948537,0.670825068,-1.462360773,-3.188198136,4.013998609,3.529293615,-3.003710503,4.981089837,-3.127330232,2.734401532,1.89613806,-0.556477115,-0.128438643,0.367641626,1.651859134,1.993502559,2.542387393,-0.566068069,-3.283405285,-2.532089815,-2.690214697,-4.917887823,-3.201029663,-0.439862863,-4.379132814,-5.665725815,-3.509622025,-0.695483019,5.34555904,1.061941305,-4.134221865,3.022550404,4.205638091
PRISM|7762,1.278630792,2.764182023,2.822800923,-1.303382316,3.051470086,-3.886248106,8.054184578,-3.138977084,3.911390577,-3.381494778,1.767105712,-3.026060742,4.126757935,1.05748094,3.828917487,-1.49737904,-3.663934635,2.460663287,-4.368916274,-1.037556941,-0.763071721,-2.339165873,-5.33399717,-2.12754194,-2.15467824,0.774299975,2.436299106,-0.880343774,2.745356477,-1.03701943,0.720593621,1.217066029,2.500891397,2.842845114,-1.788493996,0.282964195,1.926680848,-1.683057551,-1.841182433,-4.068855559,-2.3519974,0.4091694,5.550411573,-0.167448221,-2.660589761,0.153549245,2.128443688,1.910973569,-3.285189602,-2.993666139,0.057120148
PRISM|7776,-4.078558684,3.637637567,-3.362937365,-1.810904874,5.5001449,4.170220624,5.963157018,0.798079823,5.257491249,-3.889017337,1.257963541,-3.533583301,3.658168909,0.548381866,5.681167206,-2.004901599,-4.171457194,1.951521116,-4.876438832,2.769201473,3.87612001,-2.846688431,5.029989591,3.570129195,-2.662200798,0.266777416,-2.785820528,-1.387866332,2.237065318,-1.544541989,0.213071062,0.707923858,1.993368838,2.334041157,-2.296016554,-0.224558364,-2.94189558,-2.19058011,-2.348704992,-4.576378118,-2.859519959,-0.098353159,-4.037623109,0.980988062,-3.16811232,-0.353973314,5.740433095,1.40345101,-3.79271216,1.722785752,-3.425934654
