"","ID","Name","FDR","Control","IBD","UC","CD"
"1","N.acyl.alpha.amino.acids","N-acyl-alpha amino acids",4.27542706784299e-24,-2.12066460185482,1.39748299846606,1.55196003337871,1.26407101376878
"2","Terpene.glycosides","Terpene glycosides",4.43833028419201e-23,1.02003611381851,-1.94702608139246,-1.52109629041215,-2.31487453723909
"3","Acyl.carnitines","Acyl carnitines",1.00563833042754e-21,-0.609060683984582,2.57205356023151,2.55828092134913,2.58394811199357
"4","Steroidal.saponins","Steroidal saponins",3.99416477423587e-21,-0.392221004798544,-3.24881352909547,-3.01007250355467,-3.45499896024435
"5","Acylaminobenzoic.acid.and.derivatives","Acylaminobenzoic acid and derivatives",2.3069239459106e-19,-1.8705334978705,2.12134130106843,3.33853577014465,1.07012789595715
"6","Cardenolide.glycosides.and.derivatives","Cardenolide glycosides and derivatives",9.00622190003321e-19,0.780438998379406,-1.88357440143056,-1.2891102827248,-2.3969752312219
"7","Alpha.acyloxy.carbonyl.compounds","Alpha-acyloxy carbonyl compounds",2.29331311304808e-18,1.3122102004561,-1.21683426301284,-0.834241333514071,-1.54725542939813
"8","Quinolines.and.derivatives","Quinolines and derivatives",4.39445667087267e-18,2.90122796500005,0.477075279768419,0.923090041215885,0.0918807130637898
"9","Hippuric.acids","Hippuric acids",4.84383969043856e-16,-0.953796725373476,1.39290167345686,2.07835949602571,0.800915372147403
"10","Tetrahydroisoquinolines","Tetrahydroisoquinolines",8.49494109560243e-16,-0.740478367501473,1.68559595148336,2.64696684627955,0.85532108779575
"11","Tetracyclines","Tetracyclines",9.76722342885172e-16,-2.53429955590012,-0.190585423859961,0.458214416908033,-0.750912559068684
"12","Aspartic.acid.and.derivatives","Aspartic acid and derivatives",1.25873666586623e-15,-2.12246086383247,0.585327124672198,1.62949140032143,-0.316451113388505
"13","Phenylbenzodioxanes","Phenylbenzodioxanes",3.05793429032321e-15,4.83465905701689,2.15820251263922,2.67141190853642,1.71497621618255
"14","Benzenesulfonic.acids.and.derivatives","Benzenesulfonic acids and derivatives",4.49669733920558e-15,3.27983825108475,0.881724936213388,1.04068589180642,0.744440474564863
"15","Benzoic.acids.and.derivatives","Benzoic acids and derivatives",2.10681370064142e-14,-0.583349200211555,2.32975929226517,2.19280317009735,2.44803957959192
"16","Benzyl.alcohols","Benzyl alcohols",5.33644972267783e-14,-1.48743729534733,0.938465150550191,1.60475536673919,0.363032691114237
"17","Xylenes","Xylenes",6.50589228030996e-14,2.46813175225253,0.00388167206985652,0.549023036748197,-0.466922233788711
"18","Tropane.alkaloids","Tropane alkaloids",7.3962623254658e-14,1.89955722020976,-1.09863452018572,-0.566115362828207,-1.55853742881266
"19","Benzoxazolones","Benzoxazolones",9.25322216175866e-14,-2.62460387818533,1.16947653414232,2.45924779610881,0.0555831715349008
"20","Camptothecins","Camptothecins",1.6066542517047e-13,-3.42038391180754,-1.26861102828223,-0.71278920892519,-1.74863896318149
"21","Spirosolanes.and.derivatives","Spirosolanes and derivatives",2.45390386975904e-13,1.05137059730285,-1.18713763218674,-0.957628543025625,-1.38535002737134
"22","Benzene.and.substituted.derivatives","Benzene and substituted derivatives",2.77253578187368e-13,-3.23020215073128,-0.513894684483645,0.464269947126969,-1.35867322996554
"23","Phenol.esters","Phenol esters",3.18554922710885e-13,-4.92146316074784,-2.33845041413478,-1.25301440951392,-3.27587241812553
"24","Coumarans","Coumarans",1.33665208894833e-12,-1.94351927506233,0.023826818876025,0.796354806179948,-0.643356442886454
"25","X1.2.diacylglycerols","1,2-diacylglycerols",1.33899013788617e-12,-2.49679515621416,-0.325301338481442,-1.40784273336511,0.609620775281727
"26","Phenylacetic.acid.derivatives","Phenylacetic acid derivatives",1.33899013788617e-12,0.23130558733693,-2.03756328197899,-1.85075004514051,-2.19890198652131
"27","O.methylated.flavonoids","O-methylated flavonoids",2.03929931763631e-12,-0.371914224826737,-2.66827716825566,-2.61468667668357,-2.71455986552247
"28","Bile.acids..alcohols.and.derivatives","Bile acids, alcohols and derivatives",2.16724644216262e-12,0.204743987330358,2.23478634473881,1.12877890346674,3.18997458947378
"29","Phosphatidylserines","Phosphatidylserines",5.58315742293882e-12,-0.383767121285953,-2.70261809572598,-2.48807334499023,-2.88790674408868
"30","Acylaminosugars","Acylaminosugars",7.51712998860237e-12,-6.46659174874539,-1.8336793582833,-0.485503126934512,-2.99801337626634
"31","N.acyl.alpha.hexosamines","N-acyl-alpha-hexosamines",1.03897387699328e-11,-1.41112186017791,0.645798333376912,1.13447133461548,0.223762559579971
"32","Diphenylacetonitriles","Diphenylacetonitriles",3.2318798145975e-11,-2.60778886783388,-0.427536331808995,-1.57798698776175,0.56603468924111
"33","Steroid.glucuronide.conjugates","Steroid glucuronide conjugates",4.13198903902632e-11,2.73225204471038,0.812445862225128,0.844404627060555,0.78484511077635
"34","Cardiolipins","Cardiolipins",1.50527512442541e-10,3.37716595988448,1.06555438105351,1.38494879018457,0.789713754985784
"35","Quaternary.ammonium.salts","Quaternary ammonium salts",2.12836354191279e-10,0.926472628750561,-1.16183545444307,-0.57703496328777,-1.66689042407719
"36","Benzoxazines","Benzoxazines",3.72704585299127e-10,-1.3059024251752,0.547545587788116,1.04512693737598,0.117816240416779
"37","Benzoic.acid.esters","Benzoic acid esters",3.84021343161723e-10,1.58203751266894,-1.04688676790105,-0.579314246920962,-1.45069939965658
"38","Amino.acids..peptides..and.analogues","Amino acids, peptides, and analogues",6.668638644716e-10,-1.66720710692027,0.184782161416998,0.642615254898726,-0.21061914658995
"39","X2.deoxystreptamine.aminoglycosides","2-deoxystreptamine aminoglycosides",7.78755910425309e-10,-3.42508450965592,-1.59298083465924,-0.976473524734762,-2.12541896595766
"40","X1.monoacylglycerols","1-monoacylglycerols",7.94357175579005e-10,2.54485558155689,0.297776038671995,0.809791146673199,-0.144418827329045
"41","Alpha.amino.acid.esters","Alpha amino acid esters",8.55666830806967e-10,1.56045555021398,-0.505318226579483,-0.28589453550494,-0.694820505234771
"42","X1.acyl.2..1Z.alkenyl..glycerophosphocholines","1-acyl,2-(1Z-alkenyl)-glycerophosphocholines",1.08832904191757e-09,-1.13797888799304,0.26895270530242,-0.943495923689554,1.31606743034094
"43","Glycinamide.ribonucleotides","Glycinamide ribonucleotides",1.15859029412309e-08,-1.978757881692,-0.141324803138757,0.186000532131614,-0.424014865417715
"44","Phosphatidylinositols","Phosphatidylinositols",1.30574743567303e-08,0.15819914705374,2.24618037229309,1.23723413732726,3.11754302976357
"45","Alpha.amino.acids","Alpha amino acids",2.79216774291667e-08,-0.651834853434415,1.13450279629338,1.81367464578843,0.547945289911293
"46","Harmala.alkaloids","Harmala alkaloids",4.54020681295512e-08,-0.706347138356074,0.76677054560282,1.6291533584162,0.0219853890821755
"47","Tetrapyrroles.and.derivatives","Tetrapyrroles and derivatives",5.01728868061242e-08,5.31195330523231,3.789027825098,3.52234731804757,4.01934280845973
"48","Glucuronic.acid.derivatives","Glucuronic acid derivatives",5.73967279425239e-08,-1.2455408305531,1.09512297051211,1.0793378705204,1.10875555686859
"49","Benzopyrans","Benzopyrans",7.8089236667998e-08,5.40886290502593,4.42824625807498,3.97060824679187,4.8234790860013
"50","Menthane.monoterpenoids","Menthane monoterpenoids",8.10721813954776e-08,0.283585996388496,-1.52785346198667,-1.37111513806496,-1.66321837810088
"51","Diterpene.glycosides","Diterpene glycosides",9.23579724092404e-08,0.599847008672123,-0.986533291474962,-0.774986061964257,-1.16923317150693
"52","Unsaturated.hydrocarbons","Unsaturated hydrocarbons",9.61849008655961e-08,-0.462709940083653,-2.37264514868512,-2.11049255645369,-2.59904966015772
"53","Triterpenoids","Triterpenoids",1.05206675098347e-07,5.17211709508341,4.23431689404804,3.97432033959297,4.4588593728956
"54","Glycosyl.compounds","Glycosyl compounds",1.31453969332596e-07,-3.95932075173395,-2.01493133551911,-1.41480325860868,-2.53322376557812
"55","Peptides","Peptides",1.33387454683173e-07,-1.17120961018405,0.511646185690767,-0.499398710587251,1.38482132338542
"56","Monoalkylglycerophosphocholines","Monoalkylglycerophosphocholines",1.65594487695671e-07,-1.94717835617321,0.379136156996556,0.321853899779287,0.428607197320561
"57","Dihydrofurans","Dihydrofurans",1.67701842030338e-07,-1.7517028768122,0.405676270166276,-0.372183717751157,1.07746444154951
"58","Proline.and.derivatives","Proline and derivatives",1.70984631582048e-07,-4.47344591308129,-1.18471103749736,-2.1506399154809,-0.350499733784304
"59","Glycerophosphates","Glycerophosphates",2.35991687612215e-07,-3.19556865355532,-1.20377302399141,-1.90205388008006,-0.600712284642116
"60","Trichothecenes","Trichothecenes",2.43451938435574e-07,1.98881532808494,0.255605264347871,0.706981948004194,-0.134220053355317
"61","Steroid.acids","Steroid acids",2.53483720586364e-07,-2.21773407907525,-0.349252828842097,-1.23586597887422,0.41645852800383
"62","Peptidomimetics","Peptidomimetics",2.73838289068613e-07,-0.933923449097224,1.05707670363599,1.51231094493777,0.663919858875355
"63","X2.monoacylglycerols","2-monoacylglycerols",3.5024850412305e-07,1.3812886094496,-0.651421918995749,-0.415733387137363,-0.854971105600718
"64","Beta.diketones","Beta-diketones",4.90735325674393e-07,3.37581300725224,1.70926460197385,1.95264413746712,1.49907318495693
"65","Organonitrogen.compounds","Organonitrogen compounds",4.99886438159236e-07,0.0450260029175942,1.62354062268425,1.20489541435806,1.98509784805688
"66","Fatty.acid.methyl.esters","Fatty acid methyl esters",5.18831082539298e-07,0.965940619704588,-0.785258627034603,-0.482817002695895,-1.04645821169076
"67","X1..1Z.alkenyl..glycero.3.phosphocholines","1-(1Z-alkenyl)-glycero-3-phosphocholines",5.32058293268979e-07,-0.808089179328116,1.44910101498362,1.39780835526403,1.49339922110508
"68","Ketones","Ketones",7.39997456690584e-07,1.23425021465685,-0.551788166066031,-0.525555449986724,-0.574443693589069
"69","X1.3.diacylglycerols","1,3-diacylglycerols",7.7436254467649e-07,2.64496229352923,3.45561609081422,2.939571518628,3.9012909486114
"70","Organic.sulfuric.acids.and.derivatives","Organic sulfuric acids and derivatives",8.25489610762188e-07,1.24564025308734,2.54337204067176,1.6583663703888,3.3076951195525
"71","Tannins","Tannins",9.54566238930272e-07,-0.0695952286119845,-1.88517971795919,-1.71522298280386,-2.03196053468424
"72","Phenols","Phenols",9.55747159395389e-07,2.68892222034474,5.10137076495539,5.95248092463956,4.36632108159179
"73","Steroid.esters","Steroid esters",9.55747159395389e-07,0.98171055848171,-0.516436074209931,-0.209432329748602,-0.78157567169926
